ex-king	ex-queen
ex-husband	ex-wife
ex-boyfriend	ex-girlfriend
ex-boyfriends	ex-girlfriends
boyfriend	girlfriend
boyfriends	girlfriends
son-in-law	daughter-in-law
brother-in-law	sister-in-law
papa	mamma
marquess	marchioness
count	countess
viscount	viscountess
elector	electress
houseman	housemaid
houseboy	maid
lordship	ladyship
patron	patroness
tomcat	female cat
madman	madwoman
workman	workwoman
workmen	workwomen
geezer	harridan
monitor	monitress
peer	peeress
prophet	prophetess
fathered	mothered
fatherly	motherly
paternal	maternal
