ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	Book
0	"I can't live without you,"" David begged.  ""One more word from you and I'll end this now,"" Kyle hissed at the Valle.  Emily let Kyle lead her back up the stairs. She was confused, and her mind was sifting through what Sam had said."	She	161	Emily	117	TRUE	Kyle	127	FALSE	valle-book-2-of-the-heku-series.epub
0-control	"I can't live without you,"" Sam begged.  ""One more word from you and I'll end this now,"" Emily hissed at the Valle.  Kyle let Emily lead her back up the stairs. She was confused, and her mind was sifting through what David had said."	She	160	Kyle	116	TRUE	Emily	125	FALSE	valle-book-2-of-the-heku-series.epub
0-swap-1	"I can't live without you,"" Kyle begged.  ""One more word from you and I'll end this now,"" David hissed at the Valle.  Sam let David lead him back up the stairs. He was confused, and his mind was sifting through what Emily had said."	He	160	Sam	117	TRUE	David	125	FALSE	valle-book-2-of-the-heku-series.epub
0-swap-2	"I can't live without you,"" Emily begged.  ""One more word from you and I'll end this now,"" Sam hissed at the Valle.  David let Sam lead him back up the stairs. He was confused, and his mind was sifting through what Kyle had said."	He	159	David	116	TRUE	Sam	126	FALSE	valle-book-2-of-the-heku-series.epub
2	"In the beginning, her family and friends had been a great comfort to her, but they soon returned to their daily routines, leaving Marielle to rebuild her own. She did little to encourage ongoing visits, preferring instead the solitude of the old house. With the exception of Margaret Hopkins, Ted, the sheriff and the handyman, Marielle rarely saw anyone else these days... and with good reason.  Several months after Pete's funeral, Ted had insisted she get out of the house and ""rejoin the living""—as he so bluntly put it."	he	503	Pete	418	FALSE	Ted	434	TRUE	valley-of-sorrows.epub
2-control	"In the beginning, her family and friends had been a great comfort to her, but they soon returned to their daily routines, leaving Margaret Hopkins to rebuild her own. She did little to encourage ongoing visits, preferring instead the solitude of the old house. With the exception of Marielle, Pete, the sheriff and the handyman, Margaret Hopkins rarely saw anyone else these days... and with good reason.  Several months after Ted's funeral, Pete had insisted she get out of the house and ""rejoin the living""—as he so bluntly put it."	he	512	Ted	427	FALSE	Pete	442	TRUE	valley-of-sorrows.epub
2-swap-1	"In the beginning, his family and friends had been a great comfort to him, but they soon returned to their daily routines, leaving Ted to rebuild his own. He did little to encourage ongoing visits, preferring instead the solitude of the old house. With the exception of Pete, Marielle, the sheriff and the handyman, Ted rarely saw anyone else these days... and with good reason.  Several months after Margaret Hopkins's funeral, Marielle had insisted he get out of the house and ""rejoin the living""—as she so bluntly put it."	she	501	Margaret Hopkins	400	FALSE	Marielle	428	TRUE	valley-of-sorrows.epub
2-swap-2	"In the beginning, his family and friends had been a great comfort to him, but they soon returned to their daily routines, leaving Pete to rebuild his own. He did little to encourage ongoing visits, preferring instead the solitude of the old house. With the exception of Ted, Margaret Hopkins, the sheriff and the handyman, Pete rarely saw anyone else these days... and with good reason.  Several months after Marielle's funeral, Margaret Hopkins had insisted he get out of the house and ""rejoin the living""—as she so bluntly put it."	she	510	Marielle	409	FALSE	Margaret Hopkins	429	TRUE	valley-of-sorrows.epub
3	The loss of his father had strengthened their bond further. It was the only good thing that was caused by Pete's death. When Ted stepped into the role as the head of the family, Marielle was more than willing to let him.  Ted and Susanna took over Pete's accounting business, giving Marielle a percentage of the profits. Her son had a good mind for numbers, and he made sure the income Marielle received each month was enough for her to live well.	Her	321	Susanna	230	FALSE	Marielle	283	TRUE	valley-of-sorrows.epub
3-control	The loss of his father had strengthened their bond further. It was the only good thing that was caused by Ted's death. When Pete stepped into the role as the head of the family, Susanna was more than willing to let him.  Pete and Marielle took over Ted's accounting business, giving Susanna a percentage of the profits. Her son had a good mind for numbers, and he made sure the income Susanna received each month was enough for her to live well.	Her	320	Marielle	230	FALSE	Susanna	283	TRUE	valley-of-sorrows.epub
3-swap-1	The loss of her mother had strengthened their bond further. It was the only good thing that was caused by Susanna's death. When Marielle stepped into the role as the head of the family, Ted was more than willing to let her.  Marielle and Pete took over Susanna's accounting business, giving Ted a percentage of the profits. His daughter had a good mind for numbers, and she made sure the income Ted received each month was enough for him to live well.	His	324	Pete	238	FALSE	Ted	291	TRUE	valley-of-sorrows.epub
